temperature,dewpoint,wind_dir,wind_speed,pressure,precip_01h,precip_03h,precip_06h,precip_12h,precip_24h,date
45803,44799,0,0,0,18292,904,2730,17,2171,2014-06-22
45993,44973,0,0,0,18230,1009,2884,13,2260,2014-06-23
46075,45046,0,0,0,18429,1168,3131,15,2285,2014-06-24
46166,45139,0,0,0,18477,1193,3124,15,2281,2014-06-25
46142,45040,0,0,0,18379,1187,3151,13,2254,2014-06-26
46437,45321,0,0,0,18584,1116,3061,16,2187,2014-06-27
46310,45239,0,0,0,18466,1064,3080,12,2318,2014-06-28
45962,44995,0,0,0,18721,891,2929,12,2268,2014-06-29
45947,44997,0,0,0,18375,790,2635,13,2139,2014-06-30
45939,44927,0,0,0,17961,848,2721,14,2169,2014-07-01
46144,45068,0,0,0,17918,826,2651,19,2147,2014-07-02
46072,45004,0,0,0,17928,898,2743,20,2161,2014-07-03
45945,44874,0,0,0,18071,872,2732,19,2156,2014-07-04
45778,44692,0,0,0,18276,696,2491,17,2057,2014-07-05
45532,44461,0,0,0,18003,589,2331,15,2019,2014-07-06
44359,43381,0,0,0,18108,770,2478,14,2036,2014-07-07
45958,44842,0,0,0,18150,990,2967,17,2275,2014-07-08
45974,44919,0,0,0,18015,909,2786,12,2225,2014-07-09
45980,44974,0,0,0,18204,965,2916,14,2190,2014-07-10
46057,45029,0,0,0,18122,884,2857,15,2229,2014-07-11
38758,38060,0,0,0,18002,700,2177,8,1684,2014-07-12
43947,43052,0,0,0,18170,876,2335,13,1788,2014-07-13
46084,45057,0,0,0,18310,1137,3031,15,2312,2014-07-14
46227,45111,0,0,0,18334,1272,3353,16,2466,2014-07-15
46203,45018,0,0,0,18338,1138,3201,15,2350,2014-07-16
46391,45192,0,0,0,18410,830,2700,14,2164,2014-07-17
46405,45324,0,0,0,18577,878,2680,14,2096,2014-07-18
46055,45016,0,0,0,18495,1077,2891,12,2157,2014-07-19
46022,44943,0,0,0,18042,858,2811,16,2194,2014-07-20
46313,45193,0,0,0,17894,743,2579,12,2127,2014-07-21
46090,44989,0,0,0,17978,757,2635,19,2131,2014-07-22
46349,45381,0,0,0,18041,903,2724,15,2157,2014-07-23
46403,45394,0,0,0,18522,982,3013,15,2363,2014-07-24
46406,45379,0,0,0,18571,765,2706,18,2164,2014-07-25
45101,44106,0,0,0,17943,653,2333,15,1915,2014-07-26
46065,44940,0,0,0,18288,982,2863,13,2014,2014-07-27
46328,45157,0,0,0,18118,1011,3006,15,2332,2014-07-28
46355,45195,0,0,0,17969,735,2683,16,2208,2014-07-29
46395,45188,0,0,0,17984,751,2589,10,2138,2014-07-30
46339,45159,0,0,0,18002,810,2688,13,2140,2014-07-31
46270,45113,0,0,0,18374,1003,2868,13,2195,2014-08-01
46010,44800,0,0,0,18174,1082,3002,13,2249,2014-08-02
44601,43539,0,0,0,17795,1054,2562,11,1859,2014-08-03
45944,44775,0,0,0,17803,879,2805,12,2222,2014-08-04
46168,44956,0,0,0,17739,872,2792,18,2255,2014-08-05
46161,44973,0,0,0,18014,900,2826,14,2216,2014-08-06
46218,45052,0,0,0,18179,840,2683,16,2194,2014-08-07
46313,45205,0,0,0,18446,953,2878,12,2247,2014-08-08
45942,44772,0,0,0,18498,948,2896,15,2256,2014-08-09
45922,44879,0,0,0,18347,910,2898,15,2262,2014-08-10
46151,45074,0,0,0,18280,1027,2933,14,2291,2014-08-11
44659,43592,0,0,0,18310,1264,3245,14,2423,2014-08-12
46302,45243,0,0,0,18410,1147,3205,10,2388,2014-08-13
46206,45038,0,0,0,18041,769,2643,10,2138,2014-08-14
46188,44935,0,0,0,18199,820,2733,10,2155,2014-08-15
46130,44849,0,0,0,18241,823,2730,13,2195,2014-08-16
46041,44830,0,0,0,18390,1040,2972,10,2221,2014-08-17
